ID,Name,St.No.,Street Name,City,State,Zip,Municipality,Category
732,Best Buy #588,473,Clairton Blvd,Pittsburgh,PA,15236,West Mifflin,Chain Packaged Food Only
733,Best Buy #882,680,E Waterfront Dr,Homestead,PA,15120,Homestead,Chain Packaged Food Only
734,Best Eats &amp; Treats Mobile,1631,Perry  Highway,Portersville,PA,16051,Out Of County,Mobile
735,Beta Bites ,338,Bouquet  Street,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor
736,Beth El Congregation of the South Hills,1900,Cochran Road,Pittsburgh,PA,15220,Scott,Church Kitchen
737,Bethany Baptist Education &amp; Activity Center,7745,Tioga St,Pittsburgh,PA,15208,Pittsburgh-113,Adult Food Service
738,Bethany House Academy,1102,Freemont  Street,Mc Keesport,PA,15132,McKeesport,Child Food Service
739,Bethany House Academy,1500,Chicago Street,Pittsburgh,PA,15214,Reserve,Child Food Service
740,Bethel Bakery,5200/5203,Brightwood  Road,Bethel Park,PA,15102,Bethel Park,Bakery
741,Bethel Deli,2407,South Park Road,Bethel Park,PA,15102,Bethel Park,Restaurant without Liquor
742,Bethel Ice,305,Church Road,Bethel Park,PA,15102,Bethel Park,Ice Arena
743,Bethel Park Community Center,5151,Park Ave,Bethel Park,PA,15102,Bethel Park,Community Service Facility/Exempt
744,Bethel Park High School Cafeteria,309,Church Road,Bethel Park,PA,15102,Bethel Park,School Full Service Kitchen
745,Bethel Park Senior High School Concession Stand,309,Church Rd,Bethel Park,PA,15102,Bethel Park,School Satellite Kitchen
746,Bethel Park William  Penn Elementary Cafeteria,110,Woodlet Ln,Bethel Park,PA,15102,Bethel Park,School Full Service Kitchen
747,Bethlehem Baptist Church,716,Walnut St,Mc Keesport,PA,15132,McKeesport,Church Kitchen
748,Beto&#39;s Pizza,1473,Banksville Rd,Pittsburgh,PA,15216,Pittsburgh-119,Restaurant without Liquor
749,Betsy Ann Chocolates,4960,Wm Flynn Hwy,Allison Park,PA,15101,Hampton,Chain Packaged Food Only
750,Betsy Ann Chocolates,322,Perry Hwy,Pittsburgh,PA,15229,West View,Food Processor
751,Betsy&#39;s Ice Cream,666,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Restaurant without Liquor
752,Betsy&#39;s Ice Cream Mobile,666,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Mobile
753,Bett&#39;s Market,819,Brushton Ave,Pittsburgh,PA,15208,Pittsburgh-113,Retail/Convenience Store
