"1623","4059 Penn Avenue, Pittsburgh, PA, 15224","Match","Exact","4059 PENN AVE, PITTSBURGH, PA, 15224","-79.956024,40.465515","51642897","L"
"1894","350 Waterfront Drive, Homestead, PA, 15120","Match","Non_Exact","350 WATERFRONT DR W, HOMESTEAD, PA, 15120","-79.91658,40.40696","622385859","L"
"1895","301 South Hills Village, Pittsburgh, PA, 15241","Match","Exact","301 S HILLS VILLAGE, PITTSBURGH, PA, 15241","-80.057594,40.33961","622975278","L"
"1892","5000 Robinson Center Drive, Pittsburgh, PA, 15205","No_Match"
"1893","501 Monroeville Mall, Monroeville, PA, 15146","No_Match"
"1898","120 Shiloh St, Pittsburgh, PA, 15211","Match","Exact","120 SHILOH ST, PITTSBURGH, PA, 15211","-80.00683,40.431404","51928845","R"
"1899","4130 Butler  Street, Pittsburgh, PA, 15201","Match","Exact","4130 BUTLER ST, PITTSBURGH, PA, 15201","-79.96082,40.46991","51642759","R"
"1896","1601 E Carson St, Pittsburgh, PA, 15203","Match","Exact","1601 E CARSON ST, PITTSBURGH, PA, 15203","-79.98266,40.42884","51635995","L"
"1897","272 Freeport Road, Pittsburgh, PA, 15238","Match","Exact","272 FREEPORT RD, PITTSBURGH, PA, 15238","-79.8626,40.493065","51666289","R"
"1617","5915 Beacon St, Pittsburgh, PA, 15217","Match","Exact","5915 BEACON ST, PITTSBURGH, PA, 15217","-79.92066,40.435074","51652157","L"
"1616","4236 Forbes, Pittsburgh, PA, 15213","Match","Non_Exact","4236 FORBES AVE, PITTSBURGH, PA, 15213","-79.95004,40.444084","51935502","R"
"1615","4501 Torley St, Pittsburgh, PA, 15224","Match","Exact","4501 TORLEY ST, PITTSBURGH, PA, 15224","-79.95052,40.464703","51643031","L"
"1614","424 2nd Ave, Carnegie, PA, 15106","Match","Exact","424 2ND AVE, CARNEGIE, PA, 15106","-80.09098,40.402496","51616669","R"
"1619","5245 Butler St, Pittsburgh, PA, 15201","Match","Exact","5245 BUTLER ST, PITTSBURGH, PA, 15201","-79.95407,40.481","51642041","L"
"1618","422 Greenfield Ave, Pittsburgh, PA, 15207","Match","Exact","422 GREENFIELD AVE, PITTSBURGH, PA, 15207","-79.94309,40.425365","51649865","R"
"1613","916 Presque Isle Dr, Pittsburgh, PA, 15239","Match","Exact","916 PRESQUE ISLE DR, PITTSBURGH, PA, 15239","-79.70695,40.463467","606397461","R"
"1612","4110 Davision St, Pittsburgh, PA, 15201","Match","Non_Exact","4110 DAVISON ST, PITTSBURGH, PA, 15201","-79.959366,40.4688","51642776","R"
"1611","2155 Centre Ave, Pittsburgh, PA, 15219","Match","Exact","2155 CENTRE AVE, PITTSBURGH, PA, 15219","-79.97712,40.445107","51635844","L"
"1610","426 George Street, Braddock, PA, 15104","Match","Exact","426 GEORGE ST, BRADDOCK, PA, 15104","-79.86407,40.40069","51935606","R"
"1648","1033 4th Ave, Coraopolis, PA, 15108","Match","Exact","1033 4TH AVE, CORAOPOLIS, PA, 15108","-80.16315,40.51818","51612689","L"
"1647","301 Graham Street, Pittsburgh, PA, 15224","No_Match"
"1649","202 Costco Drive, Pittsburgh, PA, 15205","No_Match"
"1644","472 Wood  Street, Pittsburgh, PA, 15222","Match","Exact","472 WOOD ST, PITTSBURGH, PA, 15222","-80.00055,40.440487","51633808","R"
"1643","875 Greentree  Road, Pittsburgh, PA, 15220","Match","Exact","875 GREENTREE RD, PITTSBURGH, PA, 15220","-80.0414,40.426014","51630269","L"
"1646","801 Market St, Mc Keesport, PA, 15132","Match","Non_Exact","801 MARKET ST, MCKEESPORT, PA, 15132","-79.86596,40.347755","51671984","L"
"1645","301 Freeport Rd, Pittsburgh, PA, 15215","Match","Exact","301 FREEPORT RD, PITTSBURGH, PA, 15215","-79.9034,40.48947","51711381","L"
"1640","2806 Straka Street, Pittsburgh, PA, 15204","Match","Exact","2806 STRAKA ST, PITTSBURGH, PA, 15204","-80.06098,40.447754","51622158","R"
"1642","2500 S 18th St, Pittsburgh, PA, 15203","Match","Exact","2500 S 18TH ST, PITTSBURGH, PA, 15203","-79.98193,40.421253","51935209","R"
"1641","1099 Maple St, Coraopolis, PA, 15108","No_Match"
"1639","2201 Murray  Avenue, Pittsburgh, PA, 15217","Match","Exact","2201 MURRAY AVE, PITTSBURGH, PA, 15217","-79.92308,40.432774","51652222","L"
"1638","879 4th Ave, Coraopolis, PA, 15108","Match","Exact","879 4TH AVE, CORAOPOLIS, PA, 15108","-80.1668,40.519558","51612507","L"
"1637","1000 5th Avenue, Coraopolis, PA, 15108","Match","Exact","1000 5TH AVE, CORAOPOLIS, PA, 15108","-80.16436,40.517487","51612687","R"
"1636","1017 4th Ave, Coraopolis, PA, 15108","Match","Exact","1017 4TH AVE, CORAOPOLIS, PA, 15108","-80.16337,40.518265","51612689","L"
"1635","4071 Homestead-Duquesne Rd, West Mifflin, PA, 15122","No_Match"
"1634","355 Lincoln Hwy, North Versailles, PA, 15137","Match","Non_Exact","355 LINCOLN AVE, NORTH VERSAILLES, PA, 15137","-79.8214,40.376892","51672978","L"
"1633","1641 Suburban Avenue, Pittsburgh, PA, 15216","Match","Exact","1641 SUBURBAN AVE, PITTSBURGH, PA, 15216","-80.01887,40.40958","639697125","R"
"1632","1641 Suburban  Avenue, Pittsburgh, PA, 15216","Match","Exact","1641 SUBURBAN AVE, PITTSBURGH, PA, 15216","-80.01887,40.40958","639697125","R"
"1631","350 Butler Street, Pittsburgh, PA, 15223","Match","Exact","350 BUTLER ST, PITTSBURGH, PA, 15223","-79.944244,40.496357","51643372","R"
"1630","500 North  Avenue, Pittsburgh, PA, 15212","Tie"
"1868","500 Moon Clinton Rd, Coraopolis, PA, 15108","Match","Exact","500 MOON CLINTON RD, CORAOPOLIS, PA, 15108","-80.245125,40.51068","51693325","L"
"1867","500 Moon Clinton Rd, Coraopolis, PA, 15108","Match","Exact","500 MOON CLINTON RD, CORAOPOLIS, PA, 15108","-80.245125,40.51068","51693325","L"
"1869","708 E Warrington Ave, Pittsburgh, PA, 15210","Match","Exact","708 E WARRINGTON AVE, PITTSBURGH, PA, 15210","-79.995384,40.421776","51636437","R"
"1860","1829 Lincoln Highway, North Versailles, PA, 15137","Match","Exact","1829 LINCOLN HWY, NORTH VERSAILLES, PA, 15137","-79.7811,40.36859","51675939","L"
"1862","2200 Lebanon Church Road, West Mifflin, PA, 15122","Match","Exact","2200 LEBANON CHURCH RD, WEST MIFFLIN, PA, 15122","-79.94478,40.348312","51694125","R"
"1861","7319 McKnight Road, Pittsburgh, PA, 15237","Match","Exact","7319 MCKNIGHT RD, PITTSBURGH, PA, 15237","-80.01599,40.545097","616521375","L"
"1864","2180 Greentree  Road, Pittsburgh, PA, 15220","Match","Exact","2180 GREENTREE RD, PITTSBURGH, PA, 15220","-80.075096,40.39072","639674436","R"
"1863","2701 Freeport Road, Pittsburgh, PA, 15238","Match","Exact","2701 FREEPORT RD, PITTSBURGH, PA, 15238","-79.832565,40.538277","638531496","R"
"1866","500 Moon Clinton Rd, Coraopolis, PA, 15108","Match","Exact","500 MOON CLINTON RD, CORAOPOLIS, PA, 15108","-80.245125,40.51068","51693325","L"
"1671","545 Hamilton Rd, Pittsburgh, PA, 15205","Match","Exact","545 HAMILTON RD, PITTSBURGH, PA, 15205","-80.0875,40.42989","636371879","L"
"1865","2644 Mosside Blvd, Monroeville, PA, 15146","Match","Exact","2644 MOSSIDE BLVD, MONROEVILLE, PA, 15146","-79.75253,40.43343","51676982","R"
"1670","2760 Banksville Avenue, Pittsburgh, PA, 15216","Match","Exact","2760 BANKSVILLE AVE, PITTSBURGH, PA, 15216","-80.04028,40.404694","51935151","R"
"1661","945 Penn Avenue, Pittsburgh, PA, 15222","Match","Exact","945 PENN AVE, PITTSBURGH, PA, 15222","-79.99682,40.444145","51635001","L"
"1662","1111 Wood Street, Pittsburgh, PA, 15221","Match","Exact","1111 WOOD ST, PITTSBURGH, PA, 15221","-79.88421,40.444614","51653713","L"
"1663","4509 Liberty  Avenue, Pittsburgh, PA, 15224","Match","Exact","4509 LIBERTY AVE, PITTSBURGH, PA, 15224","-79.95167,40.463074","51643014","L"
"1664","2344 Perrysville Ave, Pittsburgh, PA, 15214","Match","Exact","2344 PERRYSVILLE AVE, PITTSBURGH, PA, 15214","-80.00997,40.467133","51626328","R"
"1665","305 Allegheny   Street, Tarentum, PA, 15084","Match","Exact","305 ALLEGHENY ST, TARENTUM, PA, 15084","-79.7503,40.60254","51664141","R"
"1666","200 Davis Boulevard, Pittsburgh, PA, 15275","No_Match"
"1667","301 Craft Ave, Pittsburgh, PA, 15213","Match","Exact","301 CRAFT AVE, PITTSBURGH, PA, 15213","-79.96143,40.435764","51649007","L"
